Site,Year,CalendarDate,A.Temp,W.Temp,Time,Mass,PL,Sex,Recapture,Aggression,Shell,Bin.Shell,Start,Move,Code,for.veg.100,for.veg.200,for.veg.300,for.veg.400,for.veg.500,for.veg.600,for.veg.700,for.veg.800,for.veg.900,for.veg.1000,wet.100,wet.200,wet.300,wet.400,wet.500,wet.600,wet.700,wet.800,wet.900,wet.1000,agri.100,agri.200,agri.300,agri.400,agri.500,agri.600,agri.700,agri.800,agri.900,agri.1000,urban.100,urban.200,urban.300,urban.400,urban.500,urban.600,urban.700,urban.800,urban.900,urban.1000,water.100,water.200,water.300,water.400,water.500,water.600,water.700,water.800,water.900,water.1000,Dummy
A,2021,155,22,22.9,12.08333333,440,132,M,N,0,NA,NA,NA,NA,ABL,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496,1
B,2021,159,28,28,11.18333333,310,124,M,N,1,0,0,45,132,ABN,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,11.26666667,660,158,F,N,3,0,0,0,149,ABO,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,11.33333333,390,131,M,N,1,0,0,0,150,ABP,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,11.41666667,360,132,M,N,1,0,0,112,123,ABQ,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,11.5,650,121,F,N,2,10,1,20,135,ABR,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,11.58333333,315,127,M,N,2,0,0,0,152,ABS,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,11.66666667,300,123,M,N,1,0,0,0,124,ABT,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,11.75,205,109,M,N,2,0,0,0,180,ABU,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,11.93333333,225,110,NA,N,1,0,0,0,180,ABV,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
