Year,Day,Site,Code,Sex,Shell,Start,Move,Aggression,BIN.Shell,Dummy
2021,2,L,BCG,M,0,NA,NA,2,0,1
2021,2,L,BBY,M,600,NA,NA,2,1,1
2021,2,L,BBV,F,0,81,60,0,0,1
2021,3,L,BBW,M,0,53,127,3,0,1
2021,3,L,BBX,M,0,74,115,2,0,1
2021,3,L,BCG,M,0,379,34,2,0,1
2021,3,L,BBY,M,600,NA,NA,1,1,1
2021,3,L,BBV,F,0,25,56,0,0,1
2021,4,L,BBW,M,0,38,107,3,0,1
2021,4,L,BBX,M,0,41,131,2,0,1
2021,4,L,BCG,M,0,344,69,2,0,1
2021,4,L,BBY,M,600,NA,NA,1,1,1
2021,4,L,BBV,F,0,40,90,1,0,1
2022,1,S,BUW,F,0,357,65,2,0,1
2022,1,S,BQY,F,0,24,90,3,0,1
2022,1,S,BVW,M,0,11,101,3,0,1
2022,1,S,BWY,M,0,46,145,3,0,1
2022,1,S,BWX,M,0,510,73,0,0,1
2022,2,S,BUW,F,0,159,115,2,0,1
2022,2,S,BQY,F,0,49,158,3,0,1
2022,2,S,BVW,M,0,5,124,3,0,1
2022,2,S,BWY,M,0,25,114,3,0,1
2022,2,S,BWX,M,0,508,82,2,0,1
2022,3,S,BUW,F,0,35,120,3,0,1
2022,3,S,BQY,F,0,8,161,3,0,1
2022,3,S,BVW,M,0,5,142,3,0,1
2022,3,S,BWY,M,0,3,130,2,0,1
2022,3,S,BWX,M,0,104,136,3,0,1
2022,4,S,BUW,F,0,194,131,2,0,1
2022,4,S,BQY,F,0,12,162,3,0,1
2022,4,S,BVW,M,0,2,139,3,0,1
2022,4,S,BWY,M,0,22,105,3,0,1
2022,4,S,BWX,M,0,203,112,2,0,1
2022,1,T,DHP,F,0,NA,NA,2,0,1
2022,1,T,DHV,M,0,309,114,2,0,1
2022,1,T,DHU,M,0,51,126,2,0,1
2022,1,T,DHO,M,0,359,155,2,0,1
2022,2,T,DHP,F,0,539,14,1,0,1
2022,2,T,DHV,M,0,555,158,2,0,1
2022,2,T,DHU,M,0,18,121,3,0,1
2022,2,T,DHO,M,0,118,108,3,0,1
2022,3,T,DHP,F,0,130,60,2,0,1
2022,3,T,DHV,M,0,160,60,3,0,1
2022,3,T,DHU,M,0,20,133,3,0,1
2022,3,T,DHO,M,0,41,123,3,0,1
2022,1,U,DIO,F,0,0,122,2,0,1
2022,1,U,DIQ,M,0,56,130,2,0,1
2022,1,U,DIU,M,0,0,82,2,0,1
2022,1,U,DIN,M,0,98,130,2,0,1
2022,1,U,DIV,M,125,NA,NA,2,1,1
2022,2,U,DIO,F,0,29,103,2,0,1
2022,2,U,DIQ,M,0,0,78,2,0,1
2022,2,U,DIU,M,0,10,114,3,0,1
2022,2,U,DIN,M,0,109,119,2,0,1
2022,2,U,DIV,M,600,NA,NA,1,1,1
2022,3,U,DIO,F,0,0,124,2,0,1
2022,3,U,DIQ,M,0,60,102,3,0,1
2022,3,U,DIU,M,0,20,87,2,0,1
2022,3,U,DIN,M,0,28,92,3,0,1
