Site,Code,Aggression,Shell,Bin.Shell,Start,log.Start,Movement,for.veg.100,for.veg.200,for.veg.300,for.veg.400,for.veg.500,for.veg.600,for.veg.700,for.veg.800,for.veg.900,for.veg.1000,wet.100,wet.200,wet.300,wet.400,wet.500,wet.600,wet.700,wet.800,wet.900,wet.1000,agri.100,agri.200,agri.300,agri.400,agri.500,agri.600,agri.700,agri.800,agri.900,agri.1000,urban.100,urban.200,urban.300,urban.400,urban.500,urban.600,urban.700,urban.800,urban.900,urban.1000,water.100,water.200,water.300,water.400,water.500,water.600,water.700,water.800,water.900,water.1000
A,ABL,0,NA,NA,NA,NA,NA,0.081081081,0.13986014,0.154320988,0.186851211,0.280623608,0.325115562,0.327293318,0.29202773,0.26611797,0.242861103,0,0,0,0,0.017817372,0.016178737,0.025481314,0.021230503,0.016803841,0.013584696,0.513513514,0.265734266,0.188271605,0.124567474,0.094654788,0.082434515,0.064552661,0.068890815,0.074074074,0.072082063,0.162162162,0.531468531,0.62962963,0.634948097,0.562360802,0.525423729,0.539637599,0.58102253,0.610768176,0.640698642,0.243243243,0.062937063,0.027777778,0.053633218,0.04454343,0.050847458,0.043035108,0.036828423,0.03223594,0.030773496
B,ABN,1,0,0,45,3.828641396,132,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABO,3,0,0,0,0,149,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABP,1,0,0,0,0,150,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABQ,1,0,0,112,4.727387819,123,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABR,2,10,1,20,3.044522438,135,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABS,2,0,0,0,0,152,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABT,1,0,0,0,0,124,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABU,2,0,0,0,0,180,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABV,1,0,0,0,0,180,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABW,1,0,0,0,0,158,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABX,2,0,0,29,3.401197382,99,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ABY,2,213,1,215,5.375278408,116,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACA,1,0,0,130,4.875197323,65,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACC,1,0,0,57,4.060443011,89,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,AUV,0,0,0,120,4.795790546,164,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACD,2,0,0,51,3.951243719,156,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACE,1,0,0,9,2.302585093,82,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACF,1,0,0,93,4.543294782,161,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACG,1,0,0,0,0,69,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACH,2,0,0,0,0,167,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACI,1,0,0,0,0,88,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACJ,2,0,0,0,0,122,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACK,3,0,0,0,0,89,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACL,2,0,0,0,0,140,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACNO,1,0,0,81,4.406719247,170,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACO,0,0,0,5,1.791759469,25,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACP,0,0,0,0,0,102,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACQ,2,0,0,0,0,176,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACR,0,0,0,55,4.025351691,68,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACS,0,0,0,0,0,170,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACT,3,41,1,42,3.761200116,60,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
B,ACU,3,0,0,0,0,80,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368
